Timestamp [s],Event,Event Type,Event Group,Event Data,Timestamp,Cadence [rpm],Speed [m/s],Distance [m],Power [watts],Latitude [semicircles],Longitude [semicircles],Altitude [m],
Sat Jul 24 06:52:38 EDT 2010,TIMER,START,0,Trigger: MANUAL,
Sat Jul 24 06:52:39 EDT 2010,BATTERY,MARKER,135,,
Sat Jul 24 06:52:39 EDT 2010,VIRTUAL_PARTNER_PACE,START,1,,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:39 EDT 2010,76,5.521,0.0,102,464203302,-919026474,43.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:39 EDT 2010,76,5.521,1.4,102,464203454,-919026468,43.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:45 EDT 2010,73,5.567,34.81,132,464207047,-919026460,43.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:45 EDT 2010,73,5.717,39.79,137,464207583,-919026441,43.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:46 EDT 2010,73,5.702,46.36,137,464208286,-919026371,43.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:47 EDT 2010,74,5.701,52.89,122,464208990,-919026365,43.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:48 EDT 2010,74,6.568,60.61,125,464209821,-919026371,43.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:49 EDT 2010,74,5.635,67.23,138,464210535,-919026361,43.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:50 EDT 2010,74,6.17,74.43,126,464211309,-919026358,43.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:52:51 EDT 2010,75,6.629,81.45,140,464212063,-919026338,43.8,
