Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,3801572714,,time_created,648903158,,manufacturer,1,,garmin_product,1036,,type,4,,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,
Data,1,file_creator,software_version,230,,,,,,,,,,,,,,,,,
Definition,2,event,timestamp,1,,data,1,,event,1,,event_type,1,,event_group,1,,,,,
Data,2,event,timestamp,648903158,s,timer_trigger,0,,event,0,,event_type,0,,event_group,0,,,,,
Data,2,event,timestamp,648903159,s,battery_level,4.177,V,event,11,,event_type,3,,event_group,135,,,,,
Data,2,event,timestamp,648903159,s,virtual_partner_speed,4.167,m/s,event,12,,event_type,0,,event_group,1,,,,,
Definition,3,device_info,timestamp,1,,serial_number,1,,cum_operating_time,1,,unknown,1,,manufacturer,1,,product,1,,software_version,1,,battery_voltage,1,,device_index,1,,device_type,1,,hardware_version,1,,battery_status,1,,
Data,3,device_info,timestamp,648903159,s,serial_number,3801572714,,manufacturer,1,,product,1036,,software_version,2.3,,device_index,0,,device_type,1,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,648903159,s,manufacturer,1,,product,979,,software_version,2.3,,device_index,1,,device_type,12,,,,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,648903159,s,device_index,2,,device_type,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,648903159,s,device_index,3,,device_type,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,
Data,4,unknown,unknown,38|173|121|247,,unknown,1,,unknown,1,,unknown,3,,unknown,2,,unknown,32,,unknown,3,,,,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,time_from_course,1,,altitude,1,,speed,1,,power,1,,grade,1,,heart_rate,1,,cadence,1,,resistance,1,,temperature,1,,
Data,5,record,timestamp,648903159,s,position_lat,464203302,semicircles,position_long,-919026474,semicircles,distance,0.0,m,altitude,43.799999999999955,m,speed,5.521,m/s,power,102,watts,cadence,76,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903159,s,position_lat,464203454,semicircles,position_long,-919026468,semicircles,distance,1.4,m,altitude,43.799999999999955,m,speed,5.521,m/s,power,102,watts,cadence,76,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903165,s,position_lat,464207047,semicircles,position_long,-919026460,semicircles,distance,34.81,m,altitude,43.799999999999955,m,speed,5.567,m/s,power,132,watts,cadence,73,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903165,s,position_lat,464207583,semicircles,position_long,-919026441,semicircles,distance,39.79,m,altitude,43.799999999999955,m,speed,5.717,m/s,power,137,watts,cadence,73,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903166,s,position_lat,464208286,semicircles,position_long,-919026371,semicircles,distance,46.36,m,altitude,43.799999999999955,m,speed,5.702,m/s,power,137,watts,cadence,73,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903167,s,position_lat,464208990,semicircles,position_long,-919026365,semicircles,distance,52.89,m,altitude,43.799999999999955,m,speed,5.701,m/s,power,122,watts,cadence,74,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903168,s,position_lat,464209821,semicircles,position_long,-919026371,semicircles,distance,60.61,m,altitude,43.799999999999955,m,speed,6.568,m/s,power,125,watts,cadence,74,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903169,s,position_lat,464210535,semicircles,position_long,-919026361,semicircles,distance,67.23,m,altitude,43.799999999999955,m,speed,5.635,m/s,power,138,watts,cadence,74,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903170,s,position_lat,464211309,semicircles,position_long,-919026358,semicircles,distance,74.43,m,altitude,43.799999999999955,m,speed,6.17,m/s,power,126,watts,cadence,74,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903171,s,position_lat,464212063,semicircles,position_long,-919026338,semicircles,distance,81.45,m,altitude,43.799999999999955,m,speed,6.629,m/s,power,140,watts,cadence,75,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903172,s,position_lat,464212769,semicircles,position_long,-919026332,semicircles,distance,88.01,m,altitude,43.799999999999955,m,speed,6.403,m/s,power,141,watts,cadence,74,rpm,temperature,24,°C,,,,,,,,,,,,,
